name,description,industry
Scanmed Technology (S) Pte Ltd,"Scanmed Technology is Singapore's leading medical equipment distributor, established back in 1993 to provide a range of medical equipment, supplies and services, cater to various health institutions including hospitals, clinics, nursing homes, polyclinics, medical schools and health science authority. 

We are always up-to-date with the latest technology development in the healthcare industry to ensure that our customers get the best solution in the market, and for their patients to get the best possible care. Scanmed Technology provides a variety of medical equipment including diagnostic imaging technology, cardiac monitoring systems, surgical imaging systems, womenâ€™s health imaging, biomedical test systems, hospital IT service, point-of-care equipment and various consumables. It always ensures customersâ€™ needs are understood and provides creative, practical and one-stop solutions with products, support and services.",Hospitals and Health Care
Hope Medflight Asia,"â€œIt is in the lives that we make a difference in that keeps us growing and goingâ€

HOPE understands that behind every call for assistance, there is a fellow human in need, and a family who cares. Working with our partners and clients in developing care solutions that save lives, our teams go the extra mile to ensure patients are safe and well cared for.

HOPE is owned and managed by healthcare professionals. From our humble beginnings in 2002, we have grown to become the largest and most diverse private emergency medical services provider in Singapore. 

Operating a fleet of over 40 ambulances, Hope provides: 
â€¢ Emergency Ambulance services 
â€¢ ICU and Advanced Life Support Ambulance Transfers (Singapore & Malaysia)
â€¢ Patient Transport Services
â€¢ Event Medical Support
â€¢ International Medical Assistance
â€¢ 24/7 Road, Sea and Air Ambulance

Hope is also a contracted provider of Emergency Ambulance Services operating with the SCDF, as part of Singaporeâ€™s 995 national emergency response. 

Our company motto is "" WHEN LIFE MATTERS"". The team is committed to providing the highest standards of safe and personalised professional medical services, and we pride ourselves in our sense of purpose, professionalism, resourcefulness and teamwork.",Hospitals and Health Care
Prolife Biobank,"Prolife Biobank is set to become Asiaâ€™s first true Biobank by providing biobanking services such as the collection and preservation of stem cells to the storage of bio specimens such as human tissue and blood. Bank A Tooth, a Singapore incorporated company specialising in dental stem cell banking, is a product of Prolife Biobank. 



Since our establishment in 2012, Prolife Biobank has formed strategic partnerships with various dental practices in Singapore to provide tooth extraction services and to facilitate the transportation of specimens to our laboratory for processing and cryopreservation. This network of dental partners is constantly growing.



Our laboratory which is currently located in Indianapolis, U.S.A, has been operating for over 10 years and specialises in dental stem cell banking and other biobanking products and services, it is FDA-registered and licensed by the departments of health in a number of states, including New York, Indiana and Maryland. In addition, it is CLIA-certified and accredited by the American Association of Blood Banks (AABB). 



At Prolife Biobank, we focus on quality throughout our biobanking processes so that your child's stem cells are successfully collected, safely and securely stored, and available in the best possible condition whenever they are needed.",Hospitals and Health Care
Survival Skills Vietnam,Reduce preventable deaths and injuries in Vietnam via first aid education to international standard.,Hospitals and Health Care
Kingston Medical Group,"Established in 2017, Kingston Medical Group Pte Ltd is one of the leading Health screening centers for foreign workers in Singapore. 

With the implementation of Antigen Rapid Test (ARTs) and Polymerase Chain Reaction Test (PCR) by the Ministry of Health in Singapore's fight against Covid-19 since 2020, Kingston is able to support and scale the Pre-event Testing(PET), Pre-Departure Test (PDT) and Rostered Routine Testing (RRT) to large group testing (up to 10,000 pax) and at the same time, versatile to provide individual testing at the clinics, home-based premises and even virtual online-supervised testing.",Hospitals and Health Care
Novena Surgery Pte Ltd,"Novena Surgery is a medical day surgery facility in Singapore.



Well-equipped modern facilities, personalized services, shorter waiting time, safety and smooth recovery are amongst the reasons patients choose Novena Surgery.



Surgeons and physicians who seek a modern and well-equipped centre will find Novena Surgery to be their day surgery of choice. Equipped with advanced technology set amidst modern facilities, Novena Surgery provides a host of facilities: 3 operating theatres, a minor-operating theatre, a spacious endoscopy suites and comfortable, private recovery suites.



Your care will be provided by our highly skilled and qualified personnel with same day procedures. Our qualified facility and staff are dedicated to creating a warm, personalized environment for you and your family. Novena Surgery will make every effort to assure your visit with us is a pleasant one.



For more information about Novena Surgery, please call our call centre at 6397-7000.",Hospitals and Health Care
Corporeal Health Solutions,"CHS technology innovations will enable healthcare industry to increase the scales of proactive, predictive diagnosis through virtualization at reduced cost of operations and alleviation of capacity gaps at healthcare providers.",Hospitals and Health Care
DentCare Singapore,Dentcare,Hospitals and Health Care
Golden Meditech Holdings Limitedï¼ˆé‡‘å«åŒ»ç–—ï¼‰,"Golden Meditech Holdings Limited is China's leading integrated-healthcare enterprise. Golden Meditech is a first-mover in China, having established dominant positions in medical devices and healthcare services markets, including cord blood stem cells storage and hospital management, thanks to its strengths in innovation and market expertise and the ability to capture emerging market opportunities. Going forward, the Group will continue to pursue a leading position in China's healthcare industry both through organic growth and strategic expansion.",Hospitals and Health Care
The Affiliated Hospital of Qingdao University,"The Affiliated Hospital of Qingdao University was founded in 1898. It is a provincial comprehensive tertiary Class A hospital and a provincial designated health care hospital that integrates medical treatment, teaching, scientific research, prevention, health care, and rehabilitation.",Hospitals and Health Care
MuziHealth Consulting,"MuziHealth Consulting provides consulting services in healthcare industry in the following areas:



Healthcare strategic management

Healthcare marketing strategy

Investment in healthcare enterprise



Continuing education for leaders in healthcare industry is essential in order for the healthcare organization to progress. MuziHealth Consulting provides training program in the following areas:



Healthcare strategic management

Operations efficiency

Change management",Hospitals and Health Care
SilverConnect,"GentleFoodsÂ® creates moulded pureÌed food that is familiar, safe and nutritious that helps in stimulating the appetite with the way it looks, tastes and smells, bringing the joy of food back into the lives of people with swallowing difficulties. With continuous inputs from hospitals, clinicians, our very own team of speech therapists, dieticians and chefs to perfect the food that would be both nutritious and appetising. The nurturance, thoughtfulness and committed culture at GentleFoodsÂ® aims to bring back the positive and joyous relationship with food.",Hospitals and Health Care
MediCall Assist Travel Solutions Ltd,"MediCall Assist is a company dedicated to providing high quality services, geared towards the medical and travel business segments in China. As the number of outbound travelers continues to grow in China, there is an ever increasing gap in evacuation and medical coverage to those who are going abroad. MCA has a large pool of local and international resources to help in bridging this gap. MCA possesses the most knowledgeable and experienced professionals in the medical, logistical and consulting fields. MCA provides international students with the medical & security coverage that will make their travels more enjoyable without worrying about the possible emergencies that can happen while traveling abroad.",Hospitals and Health Care
PPP Laser Clinic Vietnam,"Being a pioneer in introducing Laser & Light Combination System (LLCS) to Vietnam market by Dr. Goh Seng Heng and the Singapore reputable brand, PPP Laser Clinic has created a new wave of aesthetic treatments to solve common skin issue: Pore, Pimples and Pigmentation. With the success achieved through treatment results and brand credibility, PPP has continuously achieved new heights as a leader in Vietnam aesthetic market with regular launching of new treatments and high quality post-laser products and skincare to obtain optimal treatment results within the shortest time",Hospitals and Health Care
Shengguang Group,"KN95 Facemaskï¼Œdisposable facemask, medical mask, medical surgical facemask, medical protective facemask in stock and on production plan.

Shengguang group, established in 1993, and it is a specific manufacturer designated by State Food &Drug Administration to produce all kinds of medical devices, manual wheelchair, power wheelchair, rollator, crutches, walking canes, walkers, commode chair, Oxygen concentrator, bathroom accessories and hospital beds. Medical disposables, including disposable medical instruments, disposable consumables, and medical equipments.

Shengguang Group, the professional supplier of all kinds of wheel chair disposable syringes and infusion sets, with more than 10 000 workers including 893 R&D and 346 technicians holding the internal examination qualification certificate issued by the state. In 2014, Shengguang's production capacity is 20.82 million pcs syringes and 8 million pcs infusion set, 1000 wheelchairs, 100 hospital beds Per day. 

All Shengguang's products are approved by ISO9001 2000 quality control system identification, ISO13485 quality control system and CE identification, which is in conformity with GMP standard and advanced testing instruments.
Beside of the syringe factory, SHENGGUANG has three individual factories: SHENXING is to produce wheelchair and hospital beds, JOINKONA, producing disposable consumables, such as surgical drape, gown, glovesâ€¦And the last one, RUIDA is to produce thermometer and medical paste.

The products have been sold to 98 countries all of the world, thousands of 40HQ ship Out from our factory.
Shengguang has been authorized to be UN Supplier, from 2012.",Hospitals and Health Care
AMG LIMITED,"Arrow Medsource Group is a comprehensive, end to end strategic supply chain partner. Utilizing expertise in supply chain improvement and contract manufacturing, we deliver meaningful cost savings and improve supply chain efficiency.",Hospitals and Health Care
FlyforSurgery,"FlyforSurgery - The Smarter Way to Healthcare!



FlyForSurgery is a consultant to individuals and organizations seeking cost effective medical solutions. Due to disparities in the cost of medical care in different countries, FlyForSurgery is able to design solutions for its clients which make the best of use of their money - often saving them upto 80% of total costs compared to their own country, while providing world class standards of healthcare.



FlyforSurgery has partnerships with India's most respected hospitals located in 26 cities, including New Delhi, Mumbai, Bangalore, Hyderabad, and Chennai. All facilitation services are provided free of cost to the patient except some optional premium services.



Our Services:



Consulting Services -



FlyForSurgery provides consultancy services to help choose hospitals and doctors best suited for your needs. Our friendly consultant will help answer all your queries regarding the trip and help you choose the most cost effective surgery proposition whilst ensuring top quality treatments.



Concierge Services -



FlyForSurgery takes pride in providing you with complete peace of mind throughout your visit. Your dedicated case manager will book your flights and hotels, ensure special treatment in hospital premises and design a post surgery tourism itinerary.



Medical Records Transfer -



FlyForSurgery ensures safe electronic transfer of your past medical records to your doctor in the overseas location in order to facilitate a better understanding of the required surgery even before your arrival in the destination country.



Communication Services -



FlyForSurgery provides an array of communication services including pre-arrival and post procedure consultation from your surgeon. We also facilitate communication between your destination and home doctor.",Hospitals and Health Care
SLD Care,"SLD, senior-care focused brand, premium senior care equipment manufacturer and trader, offering premium quality and user-experience goods.",Hospitals and Health Care
Active Aging LLP (Singapore Pressalit),"ACTIVE AGING LLP, is a 100% Singapore enterprise, dedicated to enabling seniors and the disabled, to â€˜keep livingâ€™ well, independently and healthily, with grace and dignity.



As PRESSALITâ€™s Authorized Distributor for Singapore, ACTIVE AGING LLP carries a wide range of PRESSALIT products, designed and engineered for people with reduced functional capacity; that are used in bathrooms, kitchens and workspaces.



PRESSALIT, with a history that dates back to 1954, is a leading manufacturer of toilet seats and flexible solutions for kitchens and bathrooms. PRESSALIT products are now proudly available through ACTIVE AGING LLP in Singapore.



Join us in our journey to adding life to years. Safely. Securely. With absolute peace of mind.



Vision

A society where the aged and disabled can continue enjoying high mental, physical and emotional function in their daily lives; and to be able to do so sustainably, and where living/aging independently and actively is a given and an individualâ€™s right.



Mission

To harness technology, engineering and innovative design to bring only superior quality, safe, secure and tested products that add life to years.

To partner healthcare institutions in improving their quality of care.

To commit to partnerships that promote and support healthy, active and independent living in the aged and PwDs",Hospitals and Health Care
Feti'a assistance,"Feti'a assistance provides 24/7 medical and non medical assistance services in Asia. We also act as a Third Party Administrator (TPA) for insurers. Our team has been providing emergency evacuation services in the region since 2010. Headquartered in Singapore, our network comprises Cambodia, Myanmar and Laos, three countries in which the access of quality medical care is difficult and thus requiring real flexibility, high professionalism and creativity.",Hospitals and Health Care
The Harley Street Vascular,"The Harley Street Vascular Centre specialises in diagnosing, treating and managing a range of conditions related to veins and arteries like varicose veins, deep vein thrombosis, aortic aneurysms, peripheral arterial disease, pelvic congestion syndrome and erectile dysfunction.",Hospitals and Health Care
"Henan Kangdi Medical Device Co.,Ltd","Henan Kangdi has 26 years experience,provide capsicum plaster,pain relief patch,cooling gel patch,body warm patch,slim patch,detox foot patch,nasal strips,foot corn plaster, mosquito repellent wristband,diarrhea patch,we provide OEM,ODM service.",Hospitals and Health Care
Wellness Lifestyle & Health Group,"Wellness Lifestyle & Health Group is a Singapore based company that provides medical services with the goal of preventing disease and enhancing personal wellness through specialist crafted health screenings and actionable programs. 

Located at Camden Medical Centre, our beautifully designed WL&H Medical Clinic combines a General Practitioner Clinic with select Specialist Practices (such as Cardiology) to not only meet our clientâ€™s basic medical needs, but to also provide them with expert specialist care.",Hospitals and Health Care
Intellimed Healthcare,"Singapore based company specialized in the commercialization of Healthcare AI, digital health and innovative medical devices focussed on ASEAN markets (Singapore, Malaysia, Indonesia, Thailand, Vietnam, Philippines, Brunei, Cambodia). Exclusive distributor for products in Cardiology, Respiratory, Oncology, Gastro, Neuro & Oncology.",Hospitals and Health Care
Neu Industries Pte Ltd,"NEU Industries Pte Ltd is a leading distributor and service provider of Healthcare, Infection Control and Life Science products for Hospitals, Nursing Homes and Pharmaceutical companies.",Hospitals and Health Care
TigerText Pte Ltd,"TigerConnect is healthcareâ€™s most widely adopted communication platform â€“ uniquely modernising care collaboration among doctors, nurses, patients, and care teams. TigerConnect is the only solution that combines a consumer-like user experience for text, video, and voice communication with the serious security, privacy, and clinical workflow requirements that todayâ€™s healthcare organisations demand. TigerConnect accelerates productivity, reduces costs, and improves patient outcomes. 

Trusted by more than 5,000 international healthcare organisations, TigerConnect maintains 99.99% verifiable uptime and processes more than 10 million messages each day.",Hospitals and Health Care
ç›Šå¯ŒEfione,"NutritecEnjoy is the no. 1 medical nutrition product and solution company in Taiwan. The company develops and distributes clinically proven nutrition products for people with specific dietary needs related to illnesses, disease states or the special challenges of different life stages. The products are distributed through medical institutions (hospitals, long-term care centers) and retail (ie. pharmacies, specialty stores). 

Nutritec nutritional products are served in over 92% of hospitals and 400+ nursing organizations in Taiwan. On average, more than 200,000 people in Taiwan uses Nutritec formulas daily.

In addition to products, the company provides nutrition advisory services and food services to medical institutions and operates the largest team of registered dietitian in Taiwan through Nutritec-Enjoy Nutrition Center (NENC), a wholly owned subsidiary of Nutritec. 

Through collaborations with academic and medical institutions, the company continues to conduct research and clinical studies to further improve its products and enhance its services.",Hospitals and Health Care
Care Visions China,"Care Visions China is a subsidiary of Care Visions Group (UK), providing professional home based therapy in China. Care Visions Group is the UKâ€™s leading integrated home care group in the world, we have a total of more than 1,000 skilled nursing, physical therapists, and counselors.



Care Visions adhere's to the person-centred service concept, thus in our staff training process, we focus on the continuous improvement of our service team, by providing professional care in line with the needs of patients and their families.



Our Services



At Care Visions China, we pride ourselves with the delivery of high quality care and support to our clients who are living with dementia. We are robustly evolving in the varied specialist areas within the care services team in China. 

Our services include ; 

- In-home non-pharmacological dementia interventions that help to reduce behavioral and psychological symptoms of dementia (BPSD).

- Group dementia therapies that encourage socialization while reducing BPSD.

- FREE online training classes via our WeChat channel. These classes are taught weekly in mandarin (Chinese) and focuses on educating the people of China on dementia.

- Online consultations, because here at Care Visions, we understand your time is valuable and you may need help over the phone or via email. 



These services are delivered by our very experienced team in the comfort of the patients'â€‹ own homes or locations convenient to get to. 



Our Staff



Being in the healthcare service industry, â€œPEOPLEâ€ has always been the greatest asset in our organisation. We work hard to provide a happy, harmonious and family-oriented working environment. We strive to offer the best staff benefits, welfare and training programs to all our employees. In our continuous effort to provide quality home based therapy services to our patients, we are always seeking highly committed, motivated and dynamic individuals to join our big family.",Hospitals and Health Care
Wellchem Pharmaceuticals,"Wellchem Pharmaceuticals was established in 1975. Headquartered in Singapore, with a rich history of almost 50 years, we are one of the pioneering pharmaceutical companies in Singapore and growing from strength to strength, year to year.

Wellchem is blessed to have a team of very dedicated and passionate individuals who are experts in various fields. Amongst us are regulatory pharmacists, marketing and sales management, logistics and finance personnel who each have decades of working experience in various pharmaceutical companies.

Our specialties include orthopedics, biologics, radiation oncology, vitamins, oral supplements, consumer products like cough and cold supplements and probiotics, ophthalmology products, medical disposables such as masks and gloves which are used in most major hospitals.",Hospitals and Health Care
Distinct HealthCare,"Distinct HealthCare is a physician-led medical group dedicated to providing high quality medicalservices for both expatriates and local Chinese families. 

We operate 20+ multi-specialty clinics in Beijing, Guangzhou, Shenzhen, Chongqing, Chengdu, Changsha, Suzhou, Ningbo, and Hong Kong, which offer a wide range of clinical services, including general medicine, internal medicine, obstetrics & gynecology, pediatrics, dental care, dermatology, ophthalmology, physiotherapy and outpatient surgery. 

All of our physicians graduated from Chinaâ€™s top medical schools, and over half of them have overseas training or work experience. Our cutting-edge medical capabilities and our dedication to patient service maximize our patientsâ€™ health benefits. Our physicians and staff are capable of communicating in Chinese, English, Japanese, Korean and other foreign languages. We accept direct billing with over forty global medical insurance companies.",Hospitals and Health Care
Lifeline Corporation Pte Ltd,"Lifeline Corporation Pte Ltd has built a reputation for supplying quality healthcare products at affordable prices coupled with responsive service. Lifeline has a wide range of rehabilitation products including wheelchairs, hospital furniture and other patient support aids. With the success in Singapore, we expanded to Malaysia in 1995 with the same vision to provide customers with their healthcare needs and the aged a better quality of life.",Hospitals and Health Care
Central Region Trauma Services,"Initiated in 2019, the Central Region Trauma Services (CRTS) is served by multi-disciplinary trauma teams spanned across the healthcare clusters and system, namely, Tan Tock Seng Hospital (TTSH), Khoo Teck Puat Hospital (KTPH), Sengkang General Hospital (SKH), KK Womens' and Children's Hospital (KKH), Raffles Hospital (RH) and the upcoming Woodlands Health (WH).

Ensuring the best of care for patients who require neurosurgical treatment, the CRTS is also supported by the National Neuroscience Institute (NNI).

Noting that care continuum starts even before the patients arrive at the hospital, we work closely with the Singapore Civil Defence Force (SCDF) and the Singapore Armed Forces (SAF) in the implementation of national initiatives.",Hospitals and Health Care
NewLife Vietnam Medical Jsc.,"NewLife Vietnam Medical is a healthcare service company based in Hanoi (Vietnam). We are striving to become the leading company that provides state-of-the-art, quality and sustainable medical care solutions, with a focus on oncology in Vietnam and the region. NewLife Vietnam Medical is implementing two major projects: a NewLife cancer clinic in Hanoi (to be open in April 2010) and a NewLife hospital complex in Bac Ninh (the first component is tentatively open in 2011). Our institutions will be operating under the medical direction of Prof. Dr. Gerrit Stoter, former Head of Medical Oncology Department, Erasmus University Medical Center (Rotterdam, The Netherlands). 



For more information please refer to www.newlifevietnam.com.",Hospitals and Health Care
"Shenzhen Juding Medical Co., Ltd.","JUDcare-Infection Prevention & Control Solutions Provider.
JUDcare is one of the leading high-tech enterprise in the field of smart medical and healthcare solutions. Judcare possesses a complete R&D,marketing, and service network with more than 1,400 employees, we provide services for more than 3,500 hospitals across China and over 50 countries&regions all over the world.",Hospitals and Health Care
MUNICIPAL WAN FANG HOSPITAL,"MUNICIPAL WAN FANG HOSPITAL is a 732 beds hospital located in Taipei, Taiwan. It is owned by Taipei city government but operated, since it was opened in 1997, by Taipei Medical University as one of the three major teaching hospitals of the university.",Hospitals and Health Care
The People's Hospital of Jimo Qingdao,"The People's Hospital of Jimo Qingdao, founded in 1949, is a comprehensive tertiary hospital integrating medical, scientific research, teaching, health care and prevention functions, with certain scientific research strength and teaching teachers.",Hospitals and Health Care
Medsential LLC,"Medsential LLC is a US FDA registered company that develops, manufactures, and distributes a broad range of medical products to customers. Established in 2005, Medsential is an ISO certified medical device company with the capabilities to manufacture and assemble a broad range of products. Medsential has an extensive distribution channel, salesforce, engineering platform, and production team to bring quality products to global markets. 
We also work with partner companies to provide clinical trial tests, distribution, manufacturing, and assembly.",Hospitals and Health Care
University of Medicine Pham Ngoc Thach,"The University of Medicine Pham Ngoc Thach (UPNT) was established on July 1st 2008 on the basis of the University Training Center (UTC) for Healthcare Professionals in HCM city.

Since the early days of its foundation in 1989, the UTC has been assigned as a university of medicine in Ho Chi Minh city. During the past twenty-year of development, the UTC, as its previous name prior to 2008 and the UPNT as its current name, has successfully completed 14 full-time regular training courses, including 1422 general practitioners who have actively taken part in the cityâ€™s healthcare system. Additionally, the University has provided more than 8000 nurses and 500 primary healthcare physicians (four-year on-the-job training course), strengthening the healthcare resources for remote and distant areas in the South of Vietnam (from Da Nang city to Southern provinces). The University's achievements are highly appreciated by the social community. As evidenced by each year, the University receives a considerable number of task requirements from the Cityâ€™s and Central Governmentâ€™s healthcare institutions located in the city, which are five- and four-folds higher than the actual number of graduated doctors and nurses, respectively. Furthermore, graduate courses and continuous medical education are regularly organized for thousands of medical specialists in various disciplines (medical imaging, anesthesiology, ENTâ€¦)

The UPNT is a public university in the national education system of the Socialist Republic of Vietnam, which is founded according to the Prime Ministerâ€™s Decision. The University is under direct administrative management of the HCM city Peopleâ€™s Committee and under the expertise management of the Ministry of Health and Ministry of Education and Training.",Hospitals and Health Care
Medical Billing Wholesalers,"Revenue Cycle Management

We are an analytics-driven, technology-enabled Revenue Cycle Management (""RCM""â€‹) Company providing medical billing, medical coding and business analytics services to leading US RCM companies.

â€¢ Track record of over 7 years â€“ maintaining and growing with our clients 
â€¢ MBW has grown from 5 employees to over 700 employees and 4 offices 
â€¢ Multi-specialty expertise with proficiency using various EHR/PM systems
â€¢ Our Clients appreciate our rapid turnaround time and our communication protocols
â€¢ Our processes free up your time from day-to-day operations and lets you spend more time servicing existing clients and bringing in new clients
â€¢ No worries about Turnover, hiring & training staff â€“ MBW will do it for you
â€¢ Retraining your staff and adding a new biller or coder is as easy as sending us an email or giving us a call",Hospitals and Health Care
"CARE Hospitals, Quality CARE India Limited","CARE Hospitals Group is a multi-specialty healthcare provider operating 16 healthcare facilities serving 8 cities across 6 states in India. The network has its presence in Hyderabad, Bhubaneswar, Vishakhapatnam, Raipur, Nagpur, Pune, Indore & Aurangabad. A regional leader in South and Central India and counted among the top 5 pan-Indian hospital chains, CARE Hospitals delivers comprehensive care in over 30 clinical specialties, with over 2650+ beds. 

Presently CARE Hospitals operates under the aegis of the Evercare Group, an impact-driven healthcare network extending its services across South Asia and Africa.",Hospitals and Health Care
Valence Health (now Evolent Health),"**Evolent Health, Inc., acquired Valence Health, LLC, on October 16, 2016.**

To connect with Evolent Health on LinkedIn, visit https://www.linkedin.com/company/evolent-health/",Hospitals and Health Care
Kauvery Hospital,"Kauvery Hospitals a leading global, multispecialty World Class Hospital, focuses on Patient care, Patient safety and Patient satisfaction. Our Medical and Non-medical staff in our 1200+ bed hospital, unite at the ""Centers of Excellence,""â€‹ at each location, to bring together healthcare professionals and state-of-the-art medical technology to serve communities across the globe.

In keeping with our vision and consistent commitment, and sustained by our mission, Kauvery Hospital has been delivering preeminent medical care, setting world class standards. Our sophisticated and therapeutic care extends to all specialties and sub-specialties of medicine and surgery. Located in the heart of Trichy (Tennur, Royal Road and Alexandria Road (Cantonment), Chennai, Hosur Salem and Bengaluru the hospital also renders adult and pediatric trauma care.

Kauvery Hospital is globally known for its multidisciplinary services at all its Centers of Excellence, and for its comprehensive, Avant-Grade technology, especially in diagnostics and remedial care in heart diseases, transplantation, vascular and neurosciences medicine",Hospitals and Health Care
Metropolis Healthcare,"We believe that every human being deserves to know the truth about their inner health.

We are Metropolis - Your Pathology Specialist, delivering millions of tests every year while catering to so many patients, leading laboratories, Hospitals, Nursing homes and 2,00,000 doctors. With over 35 years of experience in delivering accurate reports, Metropolis has earned the reputation of being India's most respected and only multinational chain of diagnostic centres with presence in UAE, Sri Lanka, South Africa, Kenya, Mauritius and Ghana. 

Metropolis follows a rigorous 8-Stage MET Protocol that ensures the most comprehensive testing for accurate and reliable reports. Metropolis offers diagnostic and wellness services like Blood tests, Clinical Trials, Hospital Lab Management, Home Health Services, Preventive Health Check-ups and Corporate & Wellness Solutions. 

Metropolis is at the forefront in adopting cutting edge technologies and services that cater to patients needs. Driven to make a difference and provide quality & affordable services to our consumers we have a wide network that includes 115+ state-of-art Laboratories across India with over 1500 collection centres, processing over 4000 varieties of tests and supported by an efficient team of more than 4500 people. 

Today, we are one of the few laboratories that has received the CAP (College of American Pathologists), accreditation, the global gold standard in Laboratory Accreditation. Most of our laboratories in India have received the NABL Accreditation (National Accreditation Board for testing and Calibration Laboratories). In addition, the central laboratory in Mumbai also adheres to CLIA (Clinical Laboratory Improvement Amendments) program and also follows the guidelines laid by GCP and GLP. Our unit in South Africa is accredited by SANAS (South African National Accreditation System is the only accreditation body approved by South African Government).",Hospitals and Health Care
Rumah Sakit Pondok Indah Group,"RS Pondok Indah Group was established in 1986 with RS Pondok Indah â€“ Pondok Indah as its first hospital. To reach out to more people in Jakarta and its vicinity, RS Pondok Indah Group then opened its two more RS Pondok Indah hospitals: RS Pondok Indah â€“ Puri Indah in 2008 and RS Pondok Indah â€“ Bintaro Jaya in 2017.

All of the RS Pondok Indah hospitals implement a patient-centered approach that encapsulates our service and healthcare facilities. These are nonetheless aims to deliver the best health services in the most favorable manner based on the Good Corporate Governance and Good Clinical Government principles.",Hospitals and Health Care
Cloverleaf Care,"At Cloverleaf Care we believe in promoting independence and quality of life for seniors and adults with special needs by providing a) Non-medical care in your home b) Aging in place services and c) Education and advisory services to help you prepare, plan and Thrive! in place.

We recognize the unique needs of the diverse senior demographics, that span from supportive services to total hands-on care services. Our industry leading care programs are designed with flexibility as a central theme, and customized for each client.",Hospitals and Health Care
Syft Corp (a GHX company),"SyftÂ® enables enterprise-wide inventory management through a powerful combination of services, automation tools, and real-time data analytics. The comprehensive Syft SynergyÂ® platform eliminates the need for multiple point solutions and facilitates immediate supply savings with a range of capabilities including master data management, inventory services, supply chain management software, analytics, and advanced reporting. Founded in 1999, Syft is used by more than 245 customers (970 U.S. hospitals) to control costs, processes, and productivity across the entire organization.",Hospitals and Health Care
SpectraMedix,"In todayâ€™s performance driven healthcare landscape, the path to quality improvement begins with clinical data. SpectraMedix partners with your healthcare organization to transform real-time and retrospective data into measureable clinical and financial results. Our tailored clinical analytics solutions provide actionable information that makes it easy for your organization to begin and accelerate quality improvement initiatives, increase revenues and maximize incentives for the range of performance-based Centers for Medicare & Medicaid Services (CMS) programs.



In 2012, SpectraMedix was selected as one of eight companies for the inaugural class of the New York Digital Health Accelerator Program and named BEST Healthcare/IT Company 2012 at the New Jersey Technology Council (NJTC) Venture Conference.



""You can't manage what you can't measure.""â€‹ - W. Edwards Deming",Hospitals and Health Care
Paras Healthcare Pvt. Ltd.,"Paras Healthcare was established in 2006, with the mission of providing specialized tertiary medical care services at affordable prices. The company has a unique healthcare delivery model based on the three principles that define its values Accessibility, Affordability and Quality. Paras stands apart as a healthcare provider in its vision of making healthcare for all a reality for the common man in rural and remote regions. Paras Healthcare at present has 730 beds under Paras Hospitals and Paras Bliss. The group is projected to have a bed strength of 1500 and have a group revenue of more than 1000 crores in the next 5 years. Group of Hospitals: Gurgaon, Patna, Darbhanga, New Delhi and Panchkula
Company Website: 
Paras Hospitals - http://www.parashospitals.com/",Hospitals and Health Care
Vardhan Medical Coding Private LimitedÂ®,"Vardhan Medical Coding Private Limited, Partners with hospitals, physicians, and healthcare providers to help their business succeed and develops customized solutions that reduce the overall cost to collect while accelerating their cash flow and creating a thriving operational environment compliant with the healthcare industry regulations.

Vardhan Medical Coding (VMC) operates on a set of guiding principles that drive its high-performance culture and requires its people to operate with the highest standards of integrity in their relationships with customers, people, and business associates.
It has been embracing technology and adopting solutions that will increase its efficiency and productivity, thereby delivering remarkable results.
With the combined expertise of seasoned professionals and sophisticated tools, Vardhan Medical Coding Private Limited delivers dramatic changes to the client's revenue cycle outcomes.
Vardhan Medical Coding Private Limited takes advantage of a powerful workflow engine, knowledge management system, a slew of productivity-enhancing tools, and business intelligence technology that gives its clients a clear view of revenue cycle performance metrics.
Please visit for more info: www.thevmcs.com 

LEADERSHIP:
Founded by a team of experts who have built and managed some of the largest healthcare business process services operations in the world, Vardhan Medical Coding Private Limited is conversant with the complexities of healthcare regulation, state-specific laws, and most of the commercially available systems.",Hospitals and Health Care
Hinduja Hospital,"We are a well-known professional multi-specialty tertiary care hospital in Mumbai, making a mark since 1951.



Mission

Quality Healthcare for All



Description

P.D.Hinduja Hospital, part of the Hinduja Group, is an ultra modern tertiary care hospital with a Medical Research Centre. The world class infrastructure of the hospital has been created in association with Massachusetts General Hospital (MGM), Boston, to provide the highest quality of patient care.",Hospitals and Health Care
Even,"We pay your hospital bills so you can spend your money on things you love. #FeelFree

Enjoy free OPD and upto â‚¹1cr. hospital cover with one monthly subscription.

Even is a healthcare provider that offers free primary care (consultations and diagnostics) plus a cashless insurance cover. We believe that no Indian should have to choose between their health and savings.",Hospitals and Health Care
